entrance_area,time,weekday,avg_ppl_in,exit_area,avg_ppl_out,net_flow
Banqiao Dist.,18,4,25262.25,Banqiao Dist.,13479.88,11782.37
Banqiao Dist.,18,1,24634.63,Banqiao Dist.,11635.17,12999.46
Banqiao Dist.,18,3,24584.21,Banqiao Dist.,11752.91,12831.30
Banqiao Dist.,18,2,24143.38,Banqiao Dist.,11643.55,12499.83
Banqiao Dist.,18,0,23770.80,Banqiao Dist.,11268.93,12501.87
BL12,18,4,23040.03,BL12,17170.96,5869.07
BL12,17,4,20260.67,BL12,13131.14,7129.53
Banqiao Dist.,19,4,19035.15,Banqiao Dist.,10009.59,9025.56
Banqiao Dist.,19,1,18415.67,Banqiao Dist.,8140.14,10275.53
Banqiao Dist.,19,3,18350.39,Banqiao Dist.,8208.42,10141.97
Banqiao Dist.,19,2,18240.60,Banqiao Dist.,8162.01,10078.59
Banqiao Dist.,19,0,18225.08,Banqiao Dist.,8156.12,10068.96
BL12,18,3,16778.07,BL12,14590.84,2187.23
Banqiao Dist.,17,4,16278.77,Banqiao Dist.,10330.81,5947.96
BL12,17,5,16225.43,BL12,15122.95,1102.48
BL12,18,2,16142.78,BL12,14408.99,1733.79
BL12,18,1,16120.50,BL12,14255.00,1865.50
BL12,18,0,15827.62,BL12,14454.24,1373.38
BL12,17,6,15775.79,BL12,15371.67,404.12
Banqiao Dist.,17,1,15377.73,Banqiao Dist.,9296.60,6081.13
BL12,17,3,15173.55,BL12,10650.63,4522.92
Banqiao Dist.,17,5,15023.15,Banqiao Dist.,11409.90,3613.25
Banqiao Dist.,17,3,14967.09,Banqiao Dist.,9301.44,5665.65
Banqiao Dist.,17,2,14930.31,Banqiao Dist.,9084.05,5846.26
Banqiao Dist.,18,5,14718.35,Banqiao Dist.,10828.95,3889.40
BL12,17,2,14618.26,BL12,10704.56,3913.70
BL12,17,1,14556.00,BL12,10584.50,3971.50
BL12,17,0,14535.12,BL12,10908.31,3626.81
Banqiao Dist.,17,0,14497.95,Banqiao Dist.,9044.35,5453.60
BL12,16,6,14150.07,BL12,12577.49,1572.58
BL12,19,4,13940.40,BL12,14186.85,-246.45
BL12,16,5,13843.93,BL12,12146.75,1697.18
BL12,18,5,13554.02,BL12,14513.70,-959.68
BL12,13,5,13349.38,BL12,12432.96,916.42
BL12,15,6,13177.90,BL12,11614.33,1563.57
Banqiao Dist.,22,4,13025.93,Banqiao Dist.,6482.83,6543.10
Banqiao Dist.,17,6,12991.35,Banqiao Dist.,9772.08,3219.27
BL12,18,6,12917.84,BL12,15076.31,-2158.47
Banqiao Dist.,21,4,12906.98,Banqiao Dist.,6955.47,5951.51
BL12,16,4,12807.16,BL12,9289.14,3518.02
BL12,13,6,12655.92,BL12,11083.29,1572.63
Neihu Dist.,8,1,12653.47,Neihu Dist.,9051.51,3601.96
BL12,8,3,12602.24,BL12,11735.43,866.81
BL12,14,6,12561.09,BL12,11159.34,1401.75
BL12,8,4,12512.03,BL12,11568.55,943.48
Neihu Dist.,8,3,12510.21,Neihu Dist.,9000.57,3509.64
BL12,8,1,12444.67,BL12,11911.20,533.47
BL12,12,5,12379.75,BL12,11616.89,762.86
Neihu Dist.,8,2,12348.59,Neihu Dist.,8765.64,3582.95
Zhonghe Dist.,18,1,12341.09,Zhonghe Dist.,4247.22,8093.87
Neihu Dist.,8,4,12327.39,Neihu Dist.,8881.93,3445.46
Banqiao Dist.,20,4,12298.65,Banqiao Dist.,6778.03,5520.62
Nangang Dist.,8,3,12279.54,Nangang Dist.,10967.68,1311.86
BL12,8,2,12260.91,BL12,11339.02,921.89
BL12,15,5,12232.63,BL12,11485.10,747.53
O08,8,1,12217.99,O08,1199.90,11018.09
O08,8,3,12210.37,O08,1195.48,11014.89
Zhonghe Dist.,18,3,12196.97,Zhonghe Dist.,4309.18,7887.79
O08,8,4,12131.67,O08,1185.09,10946.58
BL12,14,5,12117.99,BL12,11774.11,343.88
BL12,8,0,12116.69,BL12,12574.15,-457.46
Banqiao Dist.,18,6,12097.14,Banqiao Dist.,8862.72,3234.42
Banqiao Dist.,21,3,12018.35,Banqiao Dist.,5710.72,6307.63
Zhonghe Dist.,18,2,11993.61,Zhonghe Dist.,4299.79,7693.82
Nangang Dist.,8,4,11973.23,Nangang Dist.,10779.08,1194.15
Nangang Dist.,8,1,11960.15,Nangang Dist.,11002.68,957.47
Zhonghe Dist.,18,0,11942.03,Zhonghe Dist.,4075.00,7867.03
O08,8,2,11880.02,O08,1172.31,10707.71
Neihu Dist.,8,0,11799.28,Neihu Dist.,8289.09,3510.19
Nangang Dist.,8,2,11796.41,Nangang Dist.,10694.97,1101.44
Banqiao Dist.,21,2,11784.90,Banqiao Dist.,5691.78,6093.12
Banqiao Dist.,20,3,11745.62,Banqiao Dist.,5574.66,6170.96
Zhonghe Dist.,18,4,11563.89,Zhonghe Dist.,5073.30,6490.59
Banqiao Dist.,20,2,11547.09,Banqiao Dist.,5498.41,6048.68
Banqiao Dist.,21,1,11539.11,Banqiao Dist.,5564.79,5974.32
O08,8,0,11523.08,O08,1118.50,10404.58
Banqiao Dist.,20,1,11490.64,Banqiao Dist.,5437.09,6053.55
Banqiao Dist.,20,0,11437.61,Banqiao Dist.,5651.74,5785.87
BL12,12,6,11407.64,BL12,10701.52,706.12
Banqiao Dist.,19,5,11214.42,Banqiao Dist.,7940.15,3274.27
G16,8,1,11207.70,G16,1873.16,9334.54
G16,8,3,11184.27,G16,1846.82,9337.45
Beitou Dist.,18,1,11169.27,Beitou Dist.,10507.55,661.72
Beitou Dist.,18,3,11144.40,Beitou Dist.,10616.91,527.49
Banqiao Dist.,22,5,11107.21,Banqiao Dist.,6877.63,4229.58
G16,8,4,11055.74,G16,1847.36,9208.38
Nangang Dist.,8,0,11055.21,Nangang Dist.,10260.55,794.66
Banqiao Dist.,22,3,11038.04,Banqiao Dist.,4965.57,6072.47
Banqiao Dist.,16,5,11014.71,Banqiao Dist.,9428.53,1586.18
Banqiao Dist.,21,5,11014.25,Banqiao Dist.,7236.75,3777.50
Sanzhong Dist.,18,1,10965.75,Sanzhong Dist.,4745.25,6220.50
Beitou Dist.,18,2,10922.04,Beitou Dist.,10398.11,523.93
Beitou Dist.,18,0,10878.40,Beitou Dist.,9831.11,1047.29
Sanzhong Dist.,18,3,10871.38,Sanzhong Dist.,4868.90,6002.48
Beitou Dist.,18,4,10858.48,Beitou Dist.,11665.98,-807.50
BL18,8,1,10856.66,BL18,2459.98,8396.68
BL12,11,5,10850.18,BL12,10883.48,-33.30
G16,8,2,10848.20,G16,1834.89,9013.31
Banqiao Dist.,21,0,10842.15,Banqiao Dist.,5436.61,5405.54
Shilin Dist.,18,4,10841.22,Shilin Dist.,10126.68,714.54
BL18,8,3,10784.23,BL18,2454.08,8330.15
Sanzhong Dist.,18,2,10637.08,Sanzhong Dist.,4784.50,5852.58
Sanzhong Dist.,18,0,10601.16,Sanzhong Dist.,4614.83,5986.33
Sanzhong Dist.,18,4,10560.62,Sanzhong Dist.,5519.26,5041.36
G16,8,0,10530.50,G16,1722.28,8808.22
Banqiao Dist.,22,2,10518.75,Banqiao Dist.,4862.12,5656.63
BL18,8,4,10491.95,BL18,2410.16,8081.79
Banqiao Dist.,22,1,10481.16,Banqiao Dist.,4788.20,5692.96
BL18,8,2,10446.39,BL18,2401.48,8044.91
BL12,11,6,10294.30,BL12,9830.38,463.92
BL12,15,4,10204.38,BL12,8544.66,1659.72
Banqiao Dist.,16,6,10199.53,Banqiao Dist.,8533.05,1666.48
BL18,8,0,10108.76,BL18,2381.82,7726.94
BL12,19,6,10086.69,BL12,12974.28,-2887.59
BL12,9,5,10035.88,BL12,7675.17,2360.71
Shilin Dist.,18,3,10012.88,Shilin Dist.,9301.70,711.18
BL12,13,4,9906.16,BL12,8722.56,1183.60
Shilin Dist.,18,1,9883.10,Shilin Dist.,9196.18,686.92
BL12,10,5,9865.64,BL12,9339.85,525.79
Nangang Dist.,18,4,9860.06,Nangang Dist.,13069.97,-3209.91
BL11,18,4,9822.74,BL11,8158.59,1664.15
Shilin Dist.,18,2,9820.10,Shilin Dist.,9106.18,713.92
Zhonghe Dist.,19,1,9809.03,Zhonghe Dist.,3032.40,6776.63
Banqiao Dist.,20,5,9802.10,Banqiao Dist.,6802.69,2999.41
Zhonghe Dist.,19,3,9785.86,Zhonghe Dist.,3093.07,6692.79
Beitou Dist.,8,1,9769.12,Beitou Dist.,14182.28,-4413.16
BL12,8,5,9732.89,BL12,6042.04,3690.85
Zhonghe Dist.,19,0,9724.98,Zhonghe Dist.,2994.98,6730.00
Banqiao Dist.,22,0,9724.47,Banqiao Dist.,4603.41,5121.06
BL12,19,5,9694.14,BL12,11156.94,-1462.80
Zhonghe Dist.,19,2,9660.65,Zhonghe Dist.,3033.08,6627.57
BL12,19,3,9656.45,BL12,11168.08,-1511.63
Banqiao Dist.,19,6,9627.16,Banqiao Dist.,6937.57,2689.59
Beitou Dist.,8,3,9622.66,Beitou Dist.,14089.94,-4467.28
BL12,16,0,9589.97,BL12,8175.28,1414.69
Shilin Dist.,18,0,9578.99,Shilin Dist.,8734.34,844.65
Banqiao Dist.,16,4,9575.07,Banqiao Dist.,7236.30,2338.77
BL12,12,4,9551.13,BL12,7665.87,1885.26
BL12,16,3,9522.82,BL12,7582.71,1940.11
Beitou Dist.,8,2,9482.71,Beitou Dist.,13815.15,-4332.44
BL12,16,1,9402.34,BL12,7574.11,1828.23
BL12,14,4,9402.04,BL12,8525.16,876.88
BL12,20,4,9356.71,BL12,11154.05,-1797.34
Zhonghe Dist.,19,4,9347.76,Zhonghe Dist.,3749.60,5598.16
Beitou Dist.,8,4,9340.22,Beitou Dist.,13911.90,-4571.68
BL12,19,0,9333.88,BL12,11425.39,-2091.51
BL12,16,2,9331.44,BL12,7635.03,1696.41
Banqiao Dist.,8,1,9268.03,Banqiao Dist.,30950.87,-21682.84
BL12,19,2,9263.04,BL12,11028.92,-1765.88
Nangang Dist.,18,3,9200.33,Nangang Dist.,11931.05,-2730.72
Banqiao Dist.,8,3,9173.45,Banqiao Dist.,30733.71,-21560.26
Banqiao Dist.,15,5,9169.48,Banqiao Dist.,9307.72,-138.24
Banqiao Dist.,16,1,9148.43,Banqiao Dist.,6581.26,2567.17
BL12,19,1,9130.30,BL12,10896.14,-1765.84
Nangang Dist.,18,1,9112.64,Nangang Dist.,11350.29,-2237.65
Beitou Dist.,19,3,9080.21,Beitou Dist.,6681.82,2398.39
Banqiao Dist.,8,4,9029.48,Banqiao Dist.,30297.88,-21268.40
Beitou Dist.,19,0,9010.61,Beitou Dist.,6387.52,2623.09
BL12,20,6,8998.96,BL12,12523.54,-3524.58
Beitou Dist.,19,4,8994.51,Beitou Dist.,7681.58,1312.93
Beitou Dist.,19,1,8987.46,Beitou Dist.,6561.69,2425.77
Banqiao Dist.,21,6,8955.10,Banqiao Dist.,6183.44,2771.66
Banqiao Dist.,8,2,8941.55,Banqiao Dist.,29847.26,-20905.71
Beitou Dist.,8,0,8935.24,Beitou Dist.,13113.63,-4178.39
Beitou Dist.,19,2,8908.40,Beitou Dist.,6638.37,2270.03
Nangang Dist.,18,0,8902.57,Nangang Dist.,10862.15,-1959.58
Banqiao Dist.,16,2,8892.61,Banqiao Dist.,6548.69,2343.92
Nangang Dist.,18,2,8891.83,Nangang Dist.,11513.49,-2621.66
Banqiao Dist.,20,6,8890.26,Banqiao Dist.,6283.02,2607.24
BL12,10,6,8888.92,BL12,8280.56,608.36
Banqiao Dist.,16,3,8834.67,Banqiao Dist.,6481.54,2353.13
BL11,17,5,8795.24,BL11,8238.52,556.72
Banqiao Dist.,16,0,8784.55,Banqiao Dist.,6644.81,2139.74
BL12,9,6,8692.80,BL12,6096.25,2596.55
Banqiao Dist.,15,6,8683.05,Banqiao Dist.,8715.88,-32.83
Shilin Dist.,18,5,8648.74,Shilin Dist.,7171.28,1477.46
Banqiao Dist.,8,0,8637.21,Banqiao Dist.,28647.19,-20009.98
Beitou Dist.,7,1,8608.54,Beitou Dist.,8743.29,-134.75
BL12,21,4,8547.33,BL12,11611.04,-3063.71
Shilin Dist.,19,4,8530.66,Shilin Dist.,7103.45,1427.21
Beitou Dist.,7,3,8519.56,Beitou Dist.,8680.92,-161.36
BL12,20,5,8472.08,BL12,10109.32,-1637.24
BL12,8,6,8452.21,BL12,4217.61,4234.60
Banqiao Dist.,13,5,8391.78,Banqiao Dist.,11574.54,-3182.76
BL12,15,0,8385.10,BL12,7757.50,627.60
Banqiao Dist.,14,5,8338.95,Banqiao Dist.,10279.71,-1940.76
Beitou Dist.,7,4,8300.11,Beitou Dist.,8512.93,-212.82
Beitou Dist.,7,2,8259.09,Beitou Dist.,8393.30,-134.21
BL12,21,5,8218.98,BL12,10909.01,-2690.03
BL11,18,5,8218.60,BL11,8075.71,142.89
BL12,12,0,8215.85,BL12,7795.32,420.53
Xindian Dist.,18,3,8209.47,Xindian Dist.,6157.58,2051.89
Xindian Dist.,18,1,8171.83,Xindian Dist.,6110.09,2061.74
BL12,13,0,8158.95,BL12,8183.33,-24.38
Shilin Dist.,17,5,8153.98,Shilin Dist.,7242.57,911.41
Beitou Dist.,7,0,8020.17,Beitou Dist.,8023.58,-3.41
Xindian Dist.,18,4,8008.36,Xindian Dist.,6911.91,1096.45
BL11,18,3,7998.52,BL11,7346.52,652.00
BL12,14,0,7996.61,BL12,7828.02,168.59
Banqiao Dist.,12,5,7965.65,Banqiao Dist.,11222.84,-3257.19
Sanzhong Dist.,19,3,7964.23,Sanzhong Dist.,3102.12,4862.11
Sanzhong Dist.,19,1,7962.85,Sanzhong Dist.,3036.95,4925.90
Beitou Dist.,17,4,7962.22,Beitou Dist.,9328.02,-1365.80
BL11,18,2,7955.61,BL11,7403.09,552.52
BL12,13,2,7952.67,BL12,7705.44,247.23
Beitou Dist.,17,1,7949.43,Beitou Dist.,8699.87,-750.44
Xindian Dist.,18,2,7943.10,Xindian Dist.,6025.14,1917.96
Banqiao Dist.,14,6,7938.55,Banqiao Dist.,9615.02,-1676.47
Sanzhong Dist.,19,0,7937.55,Sanzhong Dist.,3062.28,4875.27
BL12,12,2,7923.02,BL12,6965.85,957.17
BL12,15,3,7920.86,BL12,7052.21,868.65
Sanzhong Dist.,19,4,7919.95,Sanzhong Dist.,3666.16,4253.79
BL12,9,4,7909.10,BL12,8811.35,-902.25
Xindian Dist.,18,0,7906.80,Xindian Dist.,5811.01,2095.79
BL12,15,2,7879.71,BL12,7137.25,742.46
Shilin Dist.,17,4,7849.76,Shilin Dist.,8686.22,-836.46
Sanzhong Dist.,19,2,7844.49,Sanzhong Dist.,3075.23,4769.26
BL12,11,4,7835.53,BL12,6809.86,1025.67
BL12,9,0,7803.21,BL12,9223.54,-1420.33
BL12,12,3,7777.03,BL12,6973.75,803.28
BL12,13,3,7774.89,BL12,7687.85,87.04
Beitou Dist.,17,3,7766.95,Beitou Dist.,8519.62,-752.67
BL11,18,1,7749.97,BL11,7235.78,514.19
BL12,15,1,7745.92,BL12,7003.59,742.33
BL12,12,1,7724.74,BL12,7038.79,685.95
Wenshan Dist.,18,1,7710.04,Wenshan Dist.,4830.88,2879.16
BL12,13,1,7701.09,BL12,7643.41,57.68
Banqiao Dist.,22,6,7689.06,Banqiao Dist.,4821.20,2867.86
Beitou Dist.,17,2,7685.20,Beitou Dist.,8565.67,-880.47
BL12,7,4,7641.23,BL12,5144.65,2496.58
Wenshan Dist.,18,3,7638.29,Wenshan Dist.,4896.53,2741.76
Zhonghe Dist.,22,4,7624.98,Zhonghe Dist.,1611.84,6013.14
BL12,11,0,7619.17,BL12,7052.62,566.55
BL12,7,3,7614.08,BL12,5319.62,2294.46
Wenshan Dist.,18,2,7609.93,Wenshan Dist.,4750.74,2859.19
Shilin Dist.,8,1,7579.65,Shilin Dist.,8215.29,-635.64
BL12,14,2,7567.55,BL12,7261.16,306.39
Neihu Dist.,18,3,7564.39,Neihu Dist.,10096.19,-2531.80
Neihu Dist.,9,3,7564.15,Neihu Dist.,4774.03,2790.12
Neihu Dist.,18,1,7554.50,Neihu Dist.,10016.59,-2462.09
Beitou Dist.,17,0,7529.52,Beitou Dist.,8189.07,-659.55
Neihu Dist.,9,1,7528.94,Neihu Dist.,4765.45,2763.49
Wenshan Dist.,18,0,7522.15,Wenshan Dist.,4450.67,3071.48
Zhonghe Dist.,17,1,7511.94,Zhonghe Dist.,3272.22,4239.72
BL12,7,0,7510.92,BL12,5472.69,2038.23
BL11,16,5,7499.05,BL11,6642.84,856.21
BL11,17,4,7481.44,BL11,6479.89,1001.55
BL11,18,0,7481.00,BL11,7377.01,103.99
Shilin Dist.,19,3,7463.11,Shilin Dist.,6543.08,920.03
Banqiao Dist.,13,6,7460.62,Banqiao Dist.,10149.83,-2689.21
Shilin Dist.,19,1,7450.45,Shilin Dist.,6421.69,1028.76
Shilin Dist.,19,2,7439.84,Shilin Dist.,6427.48,1012.36
BL12,14,3,7434.86,BL12,7248.07,186.79
Neihu Dist.,18,2,7413.86,Neihu Dist.,9907.66,-2493.80
Shilin Dist.,8,3,7408.69,Shilin Dist.,8173.05,-764.36
BL12,9,3,7403.33,BL12,8737.83,-1334.50
Neihu Dist.,18,4,7392.11,Neihu Dist.,11244.27,-3852.16
BL12,7,1,7382.68,BL12,5385.01,1997.67
Wenshan Dist.,18,4,7379.84,Wenshan Dist.,5916.09,1463.75
Shilin Dist.,19,0,7372.74,Shilin Dist.,6307.85,1064.89
BL12,9,1,7346.30,BL12,8875.15,-1528.85
BL11,13,5,7346.30,BL11,4736.91,2609.39
BL11,19,4,7343.04,BL11,6249.51,1093.53
Neihu Dist.,9,2,7339.63,Neihu Dist.,4679.47,2660.16
BL12,14,1,7337.73,BL12,7176.33,161.40
Zhonghe Dist.,17,4,7335.99,Zhonghe Dist.,3817.75,3518.24
Neihu Dist.,9,4,7332.61,Neihu Dist.,4738.38,2594.23
BL12,7,2,7320.80,BL12,5098.82,2221.98
BL12,9,2,7309.96,BL12,8364.21,-1054.25
Shilin Dist.,8,2,7288.63,Shilin Dist.,8015.67,-727.04
Neihu Dist.,18,0,7260.42,Neihu Dist.,9400.37,-2139.95
Xinzhuang Dist.,18,3,7244.45,Xinzhuang Dist.,3876.25,3368.20
Zhonghe Dist.,17,2,7241.40,Zhonghe Dist.,3331.80,3909.60
Zhonghe Dist.,17,3,7224.53,Zhonghe Dist.,3342.16,3882.37
Xinzhuang Dist.,18,1,7222.22,Xinzhuang Dist.,3880.35,3341.87
Shilin Dist.,18,6,7221.88,Shilin Dist.,6222.31,999.57
Shilin Dist.,8,4,7205.26,Shilin Dist.,8035.15,-829.89
BL18,18,4,7179.44,BL18,9849.17,-2669.73
BL11,14,5,7168.20,BL11,5196.15,1972.05
BL12,10,4,7124.76,BL12,6775.56,349.20
BL11,15,5,7121.78,BL11,5631.47,1490.31
Nangang Dist.,19,4,7115.32,Nangang Dist.,9733.16,-2617.84
Zhonghe Dist.,21,4,7090.61,Zhonghe Dist.,1923.50,5167.11
Shilin Dist.,17,2,7082.22,Shilin Dist.,7786.76,-704.54
Shilin Dist.,17,6,7078.81,Shilin Dist.,6431.56,647.25
Banqiao Dist.,11,5,7074.14,Banqiao Dist.,11282.65,-4208.51
Zhonghe Dist.,17,0,7068.71,Zhonghe Dist.,3271.42,3797.29
BL12,21,6,7064.98,BL12,13100.90,-6035.92
Sanzhong Dist.,17,1,7062.57,Sanzhong Dist.,3586.27,3476.30
Shilin Dist.,17,1,7049.99,Shilin Dist.,7861.28,-811.29
Nangang Dist.,9,3,7045.69,Nangang Dist.,6126.95,918.74
Tucheng Dist.,18,1,7031.83,Tucheng Dist.,3735.66,3296.17
Shilin Dist.,17,3,7028.97,Shilin Dist.,7747.25,-718.28
BL12,10,0,7014.81,BL12,7267.38,-252.57
BL12,11,2,7014.65,BL12,6161.37,853.28
Tucheng Dist.,18,4,7010.50,Tucheng Dist.,4518.63,2491.87
Xinzhuang Dist.,18,2,7009.46,Xinzhuang Dist.,3648.80,3360.66
Banqiao Dist.,15,4,7006.70,Banqiao Dist.,6516.16,490.54
Sanzhong Dist.,17,4,6990.01,Sanzhong Dist.,4045.53,2944.48
BL11,17,6,6985.18,BL11,7375.40,-390.22
Tucheng Dist.,18,3,6977.24,Tucheng Dist.,3764.51,3212.73
Nangang Dist.,9,4,6966.23,Nangang Dist.,6067.20,899.03
Xinzhuang Dist.,18,4,6966.04,Xinzhuang Dist.,4183.19,2782.85
Neihu Dist.,9,0,6956.07,Neihu Dist.,4408.32,2547.75
BL12,11,1,6933.94,BL12,6253.92,680.02
BL15,18,4,6932.18,BL15,5938.98,993.20
Beitou Dist.,9,1,6912.20,Beitou Dist.,7651.57,-739.37
Xinzhuang Dist.,18,0,6898.00,Xinzhuang Dist.,3575.74,3322.26
Tucheng Dist.,18,2,6875.11,Tucheng Dist.,3738.72,3136.39
Banqiao Dist.,12,6,6867.60,Banqiao Dist.,9929.07,-3061.47
BL12,11,3,6867.11,BL12,6144.65,722.46
Nangang Dist.,17,4,6861.08,Nangang Dist.,7835.35,-974.27
Shilin Dist.,17,0,6859.27,Shilin Dist.,7391.07,-531.80
Shilin Dist.,8,0,6858.49,Shilin Dist.,7560.62,-702.13
Shilin Dist.,19,5,6855.88,Shilin Dist.,6108.78,747.10
Tucheng Dist.,18,0,6840.81,Tucheng Dist.,3609.03,3231.78
BL11,13,6,6840.12,BL11,4372.36,2467.76
O09,8,1,6831.03,O09,1523.36,5307.67
O09,8,4,6825.72,O09,1517.11,5308.61
BL11,14,6,6810.13,BL11,4983.38,1826.75
Sanzhong Dist.,17,3,6799.43,Sanzhong Dist.,3548.89,3250.54
O09,8,3,6795.07,O09,1521.54,5273.53
Beitou Dist.,21,4,6794.67,Beitou Dist.,3990.03,2804.64
Sanzhong Dist.,17,2,6774.14,Sanzhong Dist.,3586.67,3187.47
Beitou Dist.,17,5,6750.62,Beitou Dist.,7628.85,-878.23
BL12,20,3,6747.80,BL12,8581.78,-1833.98
Beitou Dist.,22,4,6747.18,Beitou Dist.,2768.39,3978.79
Beitou Dist.,9,3,6728.26,Beitou Dist.,7620.94,-892.68
Zhonghe Dist.,21,3,6714.40,Zhonghe Dist.,1730.66,4983.74
Nangang Dist.,19,3,6692.26,Nangang Dist.,8882.51,-2190.25
Beitou Dist.,9,2,6675.29,Beitou Dist.,7435.77,-760.48
O09,8,2,6645.18,O09,1488.54,5156.64
Nangang Dist.,19,1,6628.01,Nangang Dist.,8661.07,-2033.06
Sanzhong Dist.,17,0,6609.44,Sanzhong Dist.,3492.84,3116.60
Beitou Dist.,18,5,6575.21,Beitou Dist.,7054.88,-479.67
Zhonghe Dist.,21,2,6546.76,Zhonghe Dist.,1676.00,4870.76
Zhonghe Dist.,22,3,6542.86,Zhonghe Dist.,1296.79,5246.07
Xindian Dist.,19,3,6536.56,Xindian Dist.,4378.25,2158.31
Beitou Dist.,9,4,6528.99,Beitou Dist.,7616.74,-1087.75
BL12,21,3,6509.99,BL12,8999.81,-2489.82
Nangang Dist.,19,0,6508.24,Nangang Dist.,8560.14,-2051.90
BL11,15,6,6504.80,BL11,5465.58,1039.22
BL11,16,6,6470.50,BL11,6289.79,180.71
Nangang Dist.,9,2,6466.59,Nangang Dist.,5877.01,589.58
Nangang Dist.,19,2,6464.12,Nangang Dist.,8557.86,-2093.74
Xindian Dist.,19,4,6459.85,Xindian Dist.,4931.23,1528.62
BL12,20,0,6459.07,BL12,8947.41,-2488.34
O09,8,0,6449.12,O09,1425.90,5023.22
Beitou Dist.,9,0,6439.11,Beitou Dist.,7167.00,-727.89
BL12,20,2,6437.91,BL12,8388.18,-1950.27
Banqiao Dist.,15,2,6436.58,Banqiao Dist.,6053.85,382.73
BL11,12,5,6433.11,BL11,4130.89,2302.22
BL12,10,2,6421.44,BL12,6232.75,188.69
Zhonghe Dist.,21,1,6404.63,Zhonghe Dist.,1675.92,4728.71
Xindian Dist.,19,1,6393.67,Xindian Dist.,4198.34,2195.33
Banqiao Dist.,15,0,6385.21,Banqiao Dist.,6148.22,236.99
Xindian Dist.,19,0,6377.73,Xindian Dist.,4188.28,2189.45
Banqiao Dist.,15,1,6372.24,Banqiao Dist.,5899.98,472.26
BL12,10,1,6371.92,BL12,6422.50,-50.58
BL12,20,1,6368.97,BL12,8228.46,-1859.49
BL12,10,3,6368.74,BL12,6364.79,3.95
Xindian Dist.,19,2,6368.01,Xindian Dist.,4290.28,2077.73
Zhonghe Dist.,20,4,6366.72,Zhonghe Dist.,2152.94,4213.78
Nangang Dist.,9,1,6345.54,Nangang Dist.,5938.85,406.69
Banqiao Dist.,13,4,6344.86,Banqiao Dist.,8080.16,-1735.30
BL11,19,5,6342.78,BL11,6744.18,-401.40
Zhonghe Dist.,20,3,6324.01,Zhonghe Dist.,1803.06,4520.95
Beitou Dist.,21,3,6319.80,Beitou Dist.,3803.34,2516.46
Banqiao Dist.,11,6,6318.32,Banqiao Dist.,10210.08,-3891.76
Shilin Dist.,7,1,6316.37,Shilin Dist.,4736.89,1579.48
Beitou Dist.,20,4,6313.78,Beitou Dist.,4407.71,1906.07
Nangang Dist.,17,3,6308.65,Nangang Dist.,6826.58,-517.93
Sanzhong Dist.,22,4,6292.95,Sanzhong Dist.,1975.05,4317.90
BL12,22,5,6283.47,BL12,12189.87,-5906.40
Banqiao Dist.,15,3,6279.51,Banqiao Dist.,5834.35,445.16
BL11,17,3,6278.90,BL11,5585.47,693.43
BL11,17,2,6268.23,BL11,5764.21,504.02
Banqiao Dist.,14,4,6253.65,Banqiao Dist.,7079.77,-826.12
Shilin Dist.,7,3,6243.08,Shilin Dist.,4720.92,1522.16
Zhonghe Dist.,22,5,6242.50,Zhonghe Dist.,1499.74,4742.76
Zhonghe Dist.,20,1,6237.87,Zhonghe Dist.,1771.43,4466.44
Beitou Dist.,21,2,6235.94,Beitou Dist.,3700.26,2535.68
Zhonghe Dist.,20,2,6235.93,Zhonghe Dist.,1769.48,4466.45
Nangang Dist.,17,1,6221.52,Nangang Dist.,6309.82,-88.30
Zhonghe Dist.,22,2,6214.18,Zhonghe Dist.,1293.80,4920.38
BL11,18,6,6212.19,BL11,7028.81,-816.62
Beitou Dist.,18,6,6201.06,Beitou Dist.,5546.68,654.38
Tucheng Dist.,19,1,6199.12,Tucheng Dist.,2282.29,3916.83
Danshui Dist.,18,1,6171.84,Danshui Dist.,4513.86,1657.98
Beitou Dist.,17,6,6171.15,Beitou Dist.,6345.92,-174.77
Zhonghe Dist.,20,0,6168.10,Zhonghe Dist.,1770.62,4397.48
Zhonghe Dist.,22,1,6165.59,Zhonghe Dist.,1234.20,4931.39
BL12,21,2,6160.90,BL12,8706.03,-2545.13
Yonghe Dist.,18,1,6160.84,Yonghe Dist.,2094.62,4066.22
Tucheng Dist.,19,3,6147.91,Tucheng Dist.,2303.29,3844.62
Tucheng Dist.,19,0,6146.35,Tucheng Dist.,2283.02,3863.33
Danshui Dist.,18,3,6141.25,Danshui Dist.,4571.57,1569.68
BL11,17,0,6141.20,BL11,5827.35,313.85
Beitou Dist.,20,3,6140.53,Beitou Dist.,4243.68,1896.85
Nangang Dist.,9,0,6122.12,Nangang Dist.,5627.91,494.21
Beitou Dist.,20,2,6120.37,Beitou Dist.,4120.34,2000.03
BL11,17,1,6119.66,BL11,5576.52,543.14
Danshui Dist.,18,0,6117.42,Danshui Dist.,4551.80,1565.62
Tucheng Dist.,19,2,6113.22,Tucheng Dist.,2271.47,3841.75
BL12,7,5,6097.90,BL12,2722.40,3375.50
Nangang Dist.,17,2,6095.63,Nangang Dist.,6529.48,-433.85
Yonghe Dist.,18,3,6092.83,Yonghe Dist.,2137.82,3955.01
Shilin Dist.,7,4,6084.74,Shilin Dist.,4603.45,1481.29
