entrance_area,time,weekday,avg_ppl_in,exit_area,avg_ppl_out,net_flow
BR14,17,2,775.33,BR14,1199.93,-424.60
R04,16,2,775.26,R04,768.33,6.93
R04,20,0,775.01,R04,1218.43,-443.42
Sanzhong Dist.,6,4,774.85,Sanzhong Dist.,1891.69,-1116.84
R04,16,6,773.76,R04,683.70,90.06
Zhonghe Dist.,0,6,773.70,Zhonghe Dist.,176.77,596.93
BL19,12,1,773.62,BL19,850.03,-76.41
R04,11,6,773.48,R04,630.42,143.06
G13,17,3,773.48,G13,1172.37,-398.89
R02,17,6,773.06,R02,808.01,-34.95
BL19,12,6,772.82,BL19,1060.93,-288.11
BL19,22,6,772.40,BL19,426.46,345.94
G13,9,3,772.33,G13,565.63,206.70
G19,10,3,772.26,G19,802.22,-29.96
G19,10,1,771.94,G19,802.87,-30.93
R04,20,6,771.77,R04,752.30,19.47
R02,17,3,771.33,R02,1024.14,-252.81
O10,16,6,771.32,O10,779.19,-7.87
BL19,14,3,771.01,BL19,803.26,-32.25
R04,16,0,770.91,R04,749.76,21.15
Zhonghe Dist.,0,0,770.48,Zhonghe Dist.,163.25,607.23
O12,18,5,770.46,O12,1129.16,-358.70
R04,15,3,770.12,R04,694.43,75.69
R03,20,1,769.76,R03,2327.46,-1557.70
R04,13,0,769.60,R04,670.25,99.35
G13,9,2,769.50,G13,546.79,222.71
BR15,19,2,769.28,BR15,1096.14,-326.86
R04,10,0,768.99,R04,553.54,215.45
G08,14,1,768.96,G08,695.54,73.42
G11,18,3,768.50,G11,1681.53,-913.03
BL19,10,1,768.49,BL19,874.10,-105.61
BL19,12,2,768.36,BL19,847.29,-78.93
O10,16,3,768.09,O10,962.76,-194.67
BR12,21,4,767.66,BR12,853.81,-86.15
G08,22,2,767.44,G08,1065.02,-297.58
BR15,19,3,767.42,BR15,1074.90,-307.48
BL19,14,1,767.32,BL19,785.48,-18.16
G13,9,0,767.22,G13,534.41,232.81
Sanzhong Dist.,6,2,767.05,Sanzhong Dist.,1857.82,-1090.77
G10,22,4,766.66,G10,1900.12,-1133.46
G10,21,2,766.57,G10,1676.27,-909.70
R04,11,0,766.51,R04,554.84,211.67
O10,16,2,766.30,O10,893.00,-126.70
R05,10,6,765.79,R05,656.16,109.63
Beitou Dist.,0,3,765.78,Beitou Dist.,348.87,416.91
Zhonghe Dist.,0,1,765.58,Zhonghe Dist.,165.36,600.22
G13,17,6,765.38,G13,1030.03,-264.65
BL13,15,6,765.11,BL13,1042.16,-277.05
G18,22,0,765.05,G18,1052.25,-287.20
BL13,16,0,764.97,BL13,1523.62,-758.65
BL17,21,4,764.77,BL17,1934.95,-1170.18
R04,15,1,764.31,R04,684.36,79.95
O10,13,2,764.02,O10,709.39,54.63
O08,21,6,763.92,O08,1146.93,-383.01
O08,20,6,763.62,O08,1116.91,-353.29
BL19,12,3,763.44,BL19,840.82,-77.38
G17,8,6,763.23,G17,302.29,460.94
BR08,13,2,763.01,BR08,695.62,67.39
BR12,16,4,762.81,BR12,700.22,62.59
G13,17,0,762.27,G13,1140.44,-378.17
O10,12,4,762.15,O10,750.54,11.61
O09,8,6,761.99,O09,516.13,245.86
